runtime	cljs-nbb-logseq-pss
suite	logseq-queries-shared
backend	sqlite-kvs-pss
size	5000
pages	500
warmup-ms	200
sample-ms	200
repeats	3
jit-warmup	20
sqlite-path	/opt/cursor/artifacts/logseq-bench-cljs-5000.sqlite3
build-ms	4398.35
restore-ms	1.40
disk-bytes	5267456
query-cases	12
recent-pages	0.424
latest-journals	0.269
uuid-lookup	0.032
title-lookup	0.0087
children-by-parent	0.0079
blocks-by-page	0.0073
tags-scan	0.0079
eavt-entity	0.0029
entity-hydrate	0.022
q-updated-at-between	4.01
q-journal-pages	0.772
q-page-by-name	0.048
