runtime	ocaml-current-non-pss
suite	logseq-queries-shared
backend	sqlite
size	5000
pages	500
warmup-ms	200
sample-ms	200
repeats	3
jit-warmup	20
query-cases	12
sqlite-path	/opt/cursor/artifacts/logseq-bench-ocaml-current-5000.sqlite3
disk-bytes	9834496
build-ms	9560.89
restore-ms	0.038
recent-pages	0.269
latest-journals	0.035
uuid-lookup	0.016
title-lookup	0.0017
children-by-parent	0.0024
blocks-by-page	0.0046
tags-scan	0.0067
eavt-entity	0.0047
entity-hydrate	0.013
q-updated-at-between	0.184
q-journal-pages	0.458
q-page-by-name	0.0029
