runtime	ocaml-main
suite	logseq-queries-shared
backend	sqlite
size	5000
pages	500
warmup-ms	200
sample-ms	200
repeats	3
jit-warmup	20
query-cases	12
sqlite-path	/opt/cursor/artifacts/logseq-bench-ocaml-main-5000.sqlite3
disk-bytes	7356416
build-ms	315.80
restore-ms	0.063
recent-pages	0.415
latest-journals	0.199
uuid-lookup	0.015
title-lookup	0.0022
children-by-parent	0.0021
blocks-by-page	0.0024
tags-scan	0.0024
eavt-entity	0.0017
entity-hydrate	0.011
q-updated-at-between	0.133
q-journal-pages	3.75
q-page-by-name	0.0053
